storyid	storytitle	sentenceid	sentence
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_0	David noticed he had put on a lot of weight recently.
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_1	He examined his habits to try and figure out the reason. 
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_2	He realized he'd been eating too much fast food lately. 
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_3	He stopped going to burger places and started a vegetarian diet.
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	After a few weeks, he started to feel much better.
0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	0beabab2-fb49-460e-a6e6-f35a202e3348_0	Tom had a very short temper.
0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	0beabab2-fb49-460e-a6e6-f35a202e3348_1	One day a guest made him very angry.
0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	0beabab2-fb49-460e-a6e6-f35a202e3348_2	He punched a hole in the wall of his house.
0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	0beabab2-fb49-460e-a6e6-f35a202e3348_3	Tom's guest became afraid and left quickly.
0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	0beabab2-fb49-460e-a6e6-f35a202e3348_4	Tom sat on his couch filled with regret about his actions.
87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	87da1a22-df0b-410c-b186-439700b70ba6_0	Marcus needed clothing for a business casual event.
87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	87da1a22-df0b-410c-b186-439700b70ba6_1	All of his clothes were either too formal or too casual.
87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	87da1a22-df0b-410c-b186-439700b70ba6_2	He decided to buy a pair of khakis.
87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	87da1a22-df0b-410c-b186-439700b70ba6_3	The pair he bought fit him perfectly.
87da1a22-df0b-410c-b186-439700b70ba6	Marcus Buys Khakis	87da1a22-df0b-410c-b186-439700b70ba6_4	Marcus was happy to have the right clothes for the event.
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_0	Bobby thought Bill should buy a trailer and haul it with his car.
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_1	Bill thought a truck would be better for what he needed.
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_2	Bobby pointed out two vehicles were much more expensive.
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_3	Bill was set in his ways with conventional thinking.
